Feature,Pro,Community,Feature Status
基础代码编辑,✔,✔,ready
Lua基础调试,✔,✔,ready
Cocos2d-X UI编辑,✔,✔,ready
Cocos2d-X 粒子编辑器,✔,✔,ready
CocosStudio2.x csb/json UI布局导入,✔,✔,ready
基础AES资源加密,✔,✔,ready
当前文档单词自动完成,✔,✔,ready
自定义API提示,✔,✔,ready
ClangFormat集成,✔,✔,ready
"软件语言(英语,简体中文)",✔,✔,ready
在输出窗口定位文件,✔,✔,ready
选择指定窗口显示查找结果集合,✔,✔,ready
Luacheck集成,✔,✔,ready
以管理员身份编辑保存文件,✔,❌,ready
Lua附加进程调试,✔,❌,ready
自动更新,✔,❌,ready
360和腾讯软件中心安全监测,✔,❌,ready
Code Sinppets,✔,❌,ready
以二进制显示变量值,✔,❌,ready
搜索结果行号映射支持,✔,❌,ready
发布csd,✔,❌,ready
加密扁平化文件,✔,❌,ready
加密插件化,✔,❌,ready
Lua调试可视化工具,✔,❌,ready
Lua调试QuickInfo悬浮,✔,❌,ready
Lua调试显示C++堆栈,✔,❌,ready
资源视图按住Shift/Ctrl单击鼠标右键呼出系统桌面菜单,✔,❌,ready
MinMap ScrollBar,✔,❌,ready
记录最近附加进程exe名,✔,❌,ready
取色器工具,✔,❌,ready
持续更新,✔,❌,ready
