Software                                                      License
yasio(https://github.com/yasio/yasio)                           MIT
Scintilla                                                       Scintilla and SciTE
openal-soft                                                     LGPL
BCGControlBar Pro For MFC                                       Commercial License
angle                                                           The ANGLE Project
cocos2d-x                                                       MIT
nsis                                                            zlib/libpng License
Lua                                                             MIT
pugixml                                                         MIT
rapidxml                                                        Boost Software License
wow64ext                                                        LGPL-3.0
sqlite3                                                         Public Domain
wow64helper                                                     MIT
uchardet                                                        MOZILLA PUBLIC LICENSE 1.1
zlib                                                            zlib License
REDM                                                            Apache License v2.0
glad                                                            MIT
antlr4                                                          BSD 3-clause license
LLVM                                                            Apache License v2.0 with LLVM Exceptions
luacheck                                                        MIT
LuaJIT                                                          MIT
minhook                                                         Tsuda Kageyu
OpenSSL                                                         Apache License v2.0
curl                                                            The curl license https://curl.haxx.se/docs/copyright.html
libiconv, LGPL
boost.regex,Boost Software License
